"","filename","X","Y","HitOrder","SPP","STATUS","TISSUE","CanopyHeight.mm.","Extra.sp","SITE","PLOT","TRTMT","Observer","DATE","TOMST","Flag","Flag.1","SPP_sub"
"93","SAL_1C.csv",60,40,"Top","salbar","live","stem","11","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"94","SAL_1C.csv",60,40,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"95","SAL_1C.csv",70,40,"Top","salbar","live","stem","17","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"96","SAL_1C.csv",70,40,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"97","SAL_1C.csv",80,40,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"98","SAL_1C.csv",80,40,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"99","SAL_1C.csv",90,40,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"100","SAL_1C.csv",90,40,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"101","SAL_1C.csv",0,50,"Top","carspp","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"102","SAL_1C.csv",0,50,"Bottom","carspp","standing_dead","leaf","","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"103","SAL_1C.csv",10,50,"Top","caraur","standing_dead","leaf","8.5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"104","SAL_1C.csv",10,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"105","SAL_1C.csv",20,50,"Top","salbar","live","stem","12","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"106","SAL_1C.csv",20,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"107","SAL_1C.csv",30,50,"Top","salbar","live","stem","8","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"108","SAL_1C.csv",30,50,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"109","SAL_1C.csv",40,50,"Top","salbar","attached_dead","stem","6","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"110","SAL_1C.csv",40,50,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"111","SAL_1C.csv",50,50,"Top","litter","","","9","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"112","SAL_1C.csv",50,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"113","SAL_1C.csv",60,50,"Top","carspp","standing_dead","leaf","5.5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"114","SAL_1C.csv",60,50,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"115","SAL_1C.csv",70,50,"Top","salbar","live","leaf","23","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"116","SAL_1C.csv",70,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"117","SAL_1C.csv",80,50,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"118","SAL_1C.csv",80,50,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"119","SAL_1C.csv",90,50,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"120","SAL_1C.csv",90,50,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"121","SAL_1C.csv",0,60,"Top","carspp","standing_dead","leaf","1","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"122","SAL_1C.csv",0,60,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"123","SAL_1C.csv",10,60,"Top","salbar","attached_dead","stem","4","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"124","SAL_1C.csv",10,60,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"125","SAL_1C.csv",20,60,"Top","litter","","","1","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"126","SAL_1C.csv",20,60,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
