filename,X,Y,HitOrder,SPP,STATUS,TISSUE,CanopyHeight(mm),Extra sp,SITE,PLOT,TRTMT,Observer,DATE,TOMST,Flag,Flag
SAL_1C.csv,40,60,Top,tomst,,,17,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,60,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,60,Top,caraur,l,lf,7,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,60,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,60,Top,triglu,sd,flwr,20,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,60,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,60,Top,furry salix,sd,lf,14,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,60,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,60,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,60,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,60,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,60,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,70,Top,caraur,l,lf,5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,70,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,70,Top,triglu,l,flst,6.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,70,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,70,Top,na,,,0,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,70,Bottom,soil p1,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,70,Top,litter,,,1,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,70,Bottom,soil p1,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,70,Top,furry salix,l,lf,30,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,70,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,70,Top,caraur,l,lf,6,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,70,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,70,Top,carspp,l,lf,5.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,70,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,70,Top,na,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,70,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,70,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,70,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,70,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,70,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,80,Top,na,,,0,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,80,Top,equvar,l,st,10,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,80,Top,caraur,sd,lf,10,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,80,Top,carspp,sd,lf,5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,30,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,80,Top,triglu,sd,flst,5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,40,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,80,Top,furry salix,l,lf,23,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,50,80,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,80,Top,litter,,,0.5,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,60,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,80,Top,caraur,l,lf,4,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,70,80,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,80,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,80,80,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,80,Top,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,90,80,Bottom,x,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,90,Top,triglu,sd,flst,12,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,0,90,Bottom,litter,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,90,Top,na,,,0,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,10,90,Bottom,soil,,,,,salix,1,control,joanna,sept 25 2022,,,
SAL_1C.csv,20,90,Top,litter,,,0.5,,salix,1,control,joanna,sept 25 2022,,,
